datetime,main.temp,main.humidity,main.feels_like,city_name
2026-01-01 03:00:30+08:00,25.55,86.0,26.41,Bogo
2026-01-01 03:00:32+08:00,23.49,96.0,24.4,Borongan
2026-01-01 03:00:33+08:00,25.0,89.0,25.88,Butuan
2026-01-01 03:00:35+08:00,24.99,76.0,25.53,Cabadbaran
2026-01-01 03:00:38+08:00,23.79,86.0,24.47,Cabanatuan City
2026-01-01 03:00:42+08:00,25.88,87.0,26.8,Cadiz
2026-01-01 02:58:45+08:00,23.84,79.0,24.34,Cagayan de Oro
2026-01-01 03:00:45+08:00,26.1,83.0,26.1,Calamba
2026-01-01 03:00:50+08:00,23.86,93.0,24.73,Calbayog City
2026-01-01 03:00:59+08:00,24.28,90.0,25.11,Catbalogan
2026-01-01 03:01:04+08:00,25.81,89.0,26.77,Cebu City
2026-01-01 03:01:16+08:00,23.16,87.0,23.8,Dagupan
2026-01-01 03:01:22+08:00,25.05,100.0,26.22,Davao
2026-01-01 03:01:24+08:00,24.66,92.0,25.58,Digos
2026-01-01 03:01:27+08:00,24.78,89.0,25.64,Dipolog
2026-01-01 03:01:29+08:00,24.99,88.0,25.84,Dumaguete
2026-01-01 03:01:37+08:00,25.21,85.0,26.01,General Santos
2026-01-01 03:01:41+08:00,24.56,90.0,25.42,Gingoog City
2026-01-01 03:01:45+08:00,22.49,94.0,23.25,Iligan City
2026-01-01 03:01:46+08:00,24.49,94.0,25.45,Iloilo City
2026-01-01 03:01:56+08:00,23.12,93.0,23.92,Kidapawan
2026-01-01 03:01:59+08:00,23.82,96.0,24.76,Koronadal
2026-01-01 03:02:05+08:00,26.02,89.0,26.02,Lapu-Lapu City
2026-01-01 03:02:09+08:00,24.47,94.0,25.43,Legazpi City
2026-01-01 03:02:16+08:00,24.13,95.0,25.08,Lucena
2026-01-01 03:00:00+08:00,26.59,77.0,26.59,Makati City
2026-01-01 03:02:25+08:00,19.44,97.0,19.97,Malaybalay
2026-01-01 03:00:03+08:00,26.37,80.0,26.37,Manila
2026-01-01 03:02:47+08:00,24.38,91.0,25.25,Ormoc
